"Zone";"Date";"Region";"Prov";"nMortal";"nGraveInj";"nMinorInj";"nInv";"nPedest";"nBikes";"nMotor";"Vel";"Escaped";"Weather";"TrafficInf";"WeatherInf";"LightInf";"VisionInf";"Intersect";"Surface";"DayGroup";"HourGroup";"AccType"
"Urban";2010-07-02;"Barcelones";"Barcelona";1;0;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2010-07-31;"Maresme";"Barcelona";0;1;0;1;0;0;1;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"VehicleHitObstacle"
"Urban";2010-09-09;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2010-04-09;"Urgell";"Lleida";1;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2010-12-16;"Valles Occidental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Road";2010-06-02;"Alt Urgell";"Lleida";0;1;0;1;0;0;1;"100";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Wet";"Weekday";"Afternoon";"Other"
"Urban";2010-08-15;"Barcelones";"Barcelona";1;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-04-16;"Alt Urgell";"Lleida";0;1;2;2;0;0;2;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-10-16;"Barcelones";"Barcelona";0;1;0;3;1;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Night";"RunOver"
"Road";2010-07-06;"Alt Penedes";"Barcelona";0;1;1;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-03-14;"Garraf";"Barcelona";0;2;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"VehicleHitObstacle"
"Urban";2010-04-30;"Barcelones";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"RunOver"
"Urban";2010-07-30;"Bergueda";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2010-12-29;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Road";2010-08-19;"Garraf";"Barcelona";0;1;0;1;0;0;1;"60";"No";"StrongRain";"No";"Yes";"No";"No";"InSection";"Wet";"Weekday";"Afternoon";"VehicleHitObstacle"
"Urban";2010-09-09;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2010-10-27;"Maresme";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"Yes";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2010-02-08;"Alt Penedes";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2010-07-26;"Garrotxa";"Girona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-03-14;"Osona";"Barcelona";1;0;1;3;1;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Road";2010-06-23;"Maresme";"Barcelona";0;1;0;2;0;0;2;"40";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2010-06-07;"Valles Oriental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2010-11-17;"Baix Emporda";"Girona";1;0;1;2;0;0;2;"100";"No";"Good";"No";"Yes";"Yes";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-01-10;"Alt Emporda";"Girona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"Other"
"Road";2010-05-13;"Urgell";"Lleida";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-12-12;"Valles Occidental";"Barcelona";1;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"VehicleHitObstacle"
