"Zone","Date","Region","Prov","nMortal","nGraveInj","nMinorInj","nInvolv","nPedest","nBikes","nMotor","Vel","Escaped","Weather","TrafficInf","WeatherInf","LightInf","VisionInf","Intersect","Surface","DayGroup","HourGroup","AccType"
"Road",2014-06-01,"Solsones","Lleida",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Rollover"
"Urban",2014-02-02,"Barcelones","Barcelona",0,2,1,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitVehicle/s"
"Urban",2014-09-17,"AEmporda","Girona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2014-08-29,"Barcelones","Barcelona",0,1,2,2,0,0,2,"30","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2014-01-08,"Priorat","Tarragona",0,1,0,1,0,1,0,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Road",2014-08-11,"AUrgell","Lleida",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Rollover"
"Urban",2014-12-14,"VOccidental","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitObstacle"
"Urban",2014-09-26,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2014-08-12,"Barcelones","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2014-09-03,"Bages","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2014-02-03,"Girones","Girona",0,1,2,1,0,0,1,"90","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Other"
"Urban",2014-06-14,"Barcelones","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","Yes","Inside","Dry&Clean","Weekend","Night","HitVehicle/s"
"Road",2014-06-25,"Girones","Girona",0,1,0,2,0,0,2,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2014-04-07,"Maresme","Barcelona",0,1,1,1,0,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitObstacle"
"Road",2014-07-24,"PUrgell","Lleida",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2014-06-20,"Noguera","Lleida",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Urban",2014-03-04,"Maresme","Barcelona",0,1,1,2,0,0,2,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2014-08-15,"Selva","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2014-03-22,"Garrigues","Lleida",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2014-12-19,"Moianes","Barcelona",0,1,0,2,1,0,1,"50","No","Good","No","No","No","No","InSection","Slippery","Weekday","Morning","Rollover"
"Urban",2014-08-05,"AEmporda","Girona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2014-02-02,"Noguera","Lleida",0,1,0,2,1,0,1,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekend","Morning","RunOver"
"Urban",2014-07-24,"PEstany","Girona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Night","HitVehicle/s"
"Road",2014-02-13,"VOriental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Other"
"Road",2014-10-25,"Selva","Girona",0,6,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitVehicle/s"
"Urban",2014-12-17,"Bages","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Rollover"
"Urban",2014-07-01,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Urban",2015-12-09,"Barcelones","Barcelona",0,1,0,2,1,0,1,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2015-06-11,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2015-09-05,"Tarragones","Tarragona",1,0,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2015-07-13,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Rollover"
"Urban",2015-11-27,"BLlobregat","Barcelona",0,1,1,2,0,0,2,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2015-12-06,"Anoia","Barcelona",0,1,2,1,0,0,1,"40","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","NARoadExit"
"Urban",2015-03-28,"Barcelones","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitObstacle"
"Road",2015-12-12,"BCamp","Tarragona",0,1,1,1,0,0,1,"999","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2015-09-18,"BLlobregat","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Night","NARoadExit"
"Urban",2015-11-05,"Barcelones","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2015-10-16,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2015-12-08,"AUrgell","Lleida",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2015-08-01,"BLlobregat","Barcelona",0,1,0,2,0,1,1,"30","No","Good","No","No","No","NA","Inside","Dry&Clean","Weekend","Night","HitVehicle/s"
"Urban",2015-03-27,"BLlobregat","Barcelona",0,1,2,3,0,0,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2015-01-14,"BCamp","Tarragona",0,1,0,1,0,0,1,"120","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","HitObstacle"
"Road",2015-01-28,"Maresme","Barcelona",0,1,2,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2015-02-15,"BCamp","Tarragona",0,1,0,2,0,0,2,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2015-08-08,"Girones","Girona",1,2,4,3,0,0,3,"100","No","StrongRain","No","Yes","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2015-11-06,"Barcelones","Barcelona",1,0,0,3,0,0,3,"60","No","Good","Yes","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2015-06-17,"Osona","Girona",0,1,0,1,0,0,1,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekday","Night","HitObstacle"
"Road",2015-10-28,"Maresme","Barcelona",0,1,0,3,0,0,3,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2015-11-18,"Montsia","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","RunOver"
"Road",2015-05-26,"Segria","Lleida",0,1,0,1,0,0,0,"100","No","Good","No","No","No","No","InSection","Slippery","Weekday","Afternoon","NARoadExit"
"Road",2015-05-22,"Segria","Lleida",1,0,1,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","RunOver"
"Urban",2015-04-14,"BEmporda","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2015-03-07,"Segria","Lleida",0,1,0,2,1,0,1,NA,"NA","Good","No","No","No","NA","InSection","Dry&Clean","Weekend","Morning","RunOver"
"Road",2015-08-11,"Selva","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2015-07-25,"BLlobregat","Barcelona",0,1,0,1,0,0,1,"100","No","WeakRain","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitObstacle"
"Urban",2015-06-15,"VOccidental","Barcelona",0,1,0,2,1,0,1,"30","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2015-07-17,"AEmporda","Girona",0,1,1,2,0,0,2,"80","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2015-06-06,"Cerdanya","Girona",0,1,0,1,0,0,1,"40","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Road",2015-06-07,"Selva","Girona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Urban",2015-12-16,"Barcelones","Barcelona",1,0,1,2,1,0,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2015-03-14,"Anoia","Barcelona",0,2,3,3,0,0,3,"40","No","WeakRain","No","Yes","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2015-06-09,"BEmporda","Girona",1,2,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Road",2015-02-20,"Cerdanya","Lleida",0,1,3,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2015-11-03,"Segria","Lleida",0,1,3,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Urban",2015-09-09,"BLlobregat","Barcelona",0,2,0,2,0,0,2,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2015-07-09,"Maresme","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2015-07-18,"Barcelones","Barcelona",0,1,0,1,0,0,1,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitObstacle"
"Road",2015-11-03,"Segria","Lleida",0,1,2,3,0,0,3,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2015-05-03,"VOriental","Barcelona",0,2,0,1,0,0,1,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Other"
"Urban",2015-05-22,"BCamp","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2015-11-10,"BCamp","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2015-11-06,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2015-10-10,"BLlobregat","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2015-11-01,"Maresme","Barcelona",0,3,1,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Road",2015-03-21,"VOccidental","Barcelona",0,2,0,2,0,0,2,"50","No","WeakRain","No","Yes","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2015-06-10,"Selva","Girona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2015-03-23,"Maresme","Barcelona",0,1,0,2,0,0,2,"90","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2015-02-20,"BPenedes","Tarragona",0,1,0,2,1,0,1,"40","No","Good","No","No","No","NA","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Road",2015-02-07,"AUrgell","Lleida",0,1,2,1,0,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","NARoadExit"
"Urban",2015-04-16,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Rollover"
"Urban",2015-02-09,"VOccidental","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","Other"
"Road",2015-06-19,"Segria","Lleida",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2015-12-30,"VOccidental","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Road",2015-05-31,"Selva","Girona",0,3,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Slippery","Weekend","Afternoon","HitVehicle/s"
"Road",2015-08-15,"Ugerll","Lleida",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Road",2015-09-19,"Noguera","Lleida",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2015-04-14,"Barcelones","Barcelona",0,1,1,1,0,0,1,"100","No","Good","No","No","No","Yes","InSection","Dry&Clean","Weekday","Afternoon","Rollover"
"Urban",2015-05-08,"Osona","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Flooded","Weekday","Afternoon","HitVehicle/s"
"Urban",2015-07-24,"BEmporda","Girona",0,1,0,2,0,1,1,"30","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2015-12-27,"Garraf","Barcelona",0,1,0,1,0,1,0,"50","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","Rollover"
"Urban",2015-09-11,"VOccidental","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2015-06-09,"Barcelones","Barcelona",0,1,0,3,0,0,3,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2015-10-13,"VOriental","Barcelona",0,1,0,2,0,1,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2016-01-07,"BPenedes","Tarragona",0,2,3,2,0,0,2,"40","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-11-17,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-04-23,"Anoia","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Road",2016-10-03,"Osona","Barcelona",0,1,0,1,0,0,1,"40","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Urban",2016-07-10,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2016-10-29,"BLlobregat","Barcelona",0,1,0,1,0,0,0,"100","No","Good","No","No","No","No","InSection","Wet","Weekend","Afternoon","Other"
"Urban",2016-10-10,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-09-19,"Barcelones","Barcelona",0,2,1,2,0,0,2,"100","No","Good","Yes","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-05-26,"Barcelones","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2016-12-12,"Barcelones","Barcelona",0,1,1,2,1,0,1,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2016-06-29,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","Yes","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-10-07,"Tarragones","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Road",2016-09-30,"Bergueda","Barcelona",0,1,0,2,1,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2016-01-18,"VOccidental","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-06-25,"Maresme","Barcelona",0,1,0,1,0,1,0,NA,"No","Good","No","No","No","NA","InSection","Dry&Clean","Weekend","Afternoon","Rollover"
"Road",2016-07-29,"Selva","Barcelona",0,1,1,2,0,0,2,"120","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-11-13,"Barcelones","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","Rollover"
"Urban",2016-05-28,"Selva","Girona",0,1,0,2,0,0,2,"50","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Night","HitVehicle/s"
"Road",2016-08-30,"Tarragones","Tarragona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2016-02-25,"Barcelones","Barcelona",0,1,1,3,2,0,1,"30","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2016-11-01,"VOccidental","Barcelona",0,1,0,1,0,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Rollover"
"Urban",2016-01-01,"Garraf","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2016-06-22,"Tarragones","Tarragona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2016-12-06,"Ugerll","Lleida",0,1,4,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-05-04,"Maresme","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-07-17,"Osona","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2016-02-14,"BEmporda","Girona",0,1,0,2,0,1,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitObstacle"
"Urban",2016-02-03,"Barcelones","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-05-02,"VOriental","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","HitObstacle"
"Urban",2016-04-24,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2016-04-15,"Selva","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Urban",2016-05-13,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"999","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","RunOver"
"Road",2016-03-20,"APenedes","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Urban",2016-07-27,"BCamp","Tarragona",0,1,0,2,1,0,1,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2016-09-08,"Selva","Girona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-06-14,"VOccidental","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","Other"
"Urban",2016-07-24,"Bages","Barcelona",0,1,1,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Road",2016-05-11,"BEmporda","Girona",0,2,2,2,0,0,2,"70","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2016-01-05,"Osona","Barcelona",2,0,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Road",2016-06-14,"Montsia","Tarragona",1,0,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-06-18,"Segria","Lleida",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Rollover"
"Road",2016-04-03,"Cerdanya","Girona",0,1,0,2,1,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","RunOver"
"Urban",2016-07-09,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2016-02-16,"VOccidental","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-09-30,"VOccidental","Barcelona",0,1,0,2,0,0,2,"40","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2016-10-25,"Ribera","Tarragona",0,1,1,2,0,0,2,"90","No","WeakRain","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-07-25,"Barcelones","Barcelona",1,0,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2016-07-24,"Garraf","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2016-12-30,"PEstany","Girona",0,1,0,1,0,1,0,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Urban",2016-07-08,"Girones","Girona",0,1,1,2,1,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Afternoon","RunOver"
"Road",2016-05-11,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2016-06-14,"Maresme","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-06-19,"VOriental","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2016-02-13,"Ripolles","Girona",0,1,0,1,0,0,1,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Rollover"
"Urban",2016-11-14,"Maresme","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2016-03-06,"Selva","Girona",0,1,0,3,0,1,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Rollover"
"Urban",2016-07-04,"APenedes","Barcelona",0,1,0,1,0,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Urban",2016-07-04,"Barcelones","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2016-06-15,"Barcelones","Barcelona",0,1,0,3,0,0,3,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2016-03-25,"Selva","Girona",0,5,0,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-04-06,"Girones","Girona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Urban",2016-05-10,"Segria","Lleida",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2016-02-09,"APenedes","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","Yes","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-11-03,"Barcelones","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2016-09-24,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2016-11-01,"VOriental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2016-03-11,"Barcelones","Barcelona",0,1,1,2,0,0,2,"100","No","Good","Yes","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2016-03-13,"Barcelones","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2016-10-07,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2010-07-06,"BEmporda","Girona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2010-10-06,"Garraf","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2010-01-21,"PEstany","Girona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitObstacle"
