"Zone","Date","Region","Prov","nMortal","nGraveInj","nMinorInj","nInvolv","nPedest","nBikes","nMotor","Vel","Escaped","Weather","TrafficInf","WeatherInf","LightInf","VisionInf","Intersect","Surface","DayGroup","HourGroup","AccType"
"Road",2019-09-30,"Bages","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Other"
"Urban",2019-10-18,"Girones","Girona",0,1,0,1,0,0,1,"40","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Night","Rollover"
"Road",2019-06-24,"VOriental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-08-31,"BCamp","Tarragona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitObstacle"
"Urban",2019-06-09,"Conca","Tarragona",1,0,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Flooded","Weekend","Afternoon","RunOver"
"Road",2019-03-13,"Noguera","Lleida",0,1,1,2,0,0,2,"80","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-05-18,"Selva","Girona",0,3,0,2,0,0,2,"100","No","WeakRain","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitVehicle/s"
"Road",2019-08-17,"BLlobregat","Barcelona",1,0,0,1,0,0,1,"50","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Night","NARoadExit"
"Urban",2019-02-15,"Barcelones","Barcelona",0,2,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2019-01-02,"Barcelones","Barcelona",0,1,3,1,0,0,0,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitObstacle"
"Urban",2019-07-05,"BLlobregat","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2019-04-27,"Maresme","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2019-08-03,"VOriental","Barcelona",0,1,4,4,0,0,4,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2019-08-19,"VOccidental","Barcelona",0,1,1,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Road",2019-09-04,"VOccidental","Barcelona",0,1,0,2,0,0,2,"50","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-05-28,"BCamp","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitObstacle"
"Road",2019-10-08,"BLlobregat","Barcelona",0,1,0,1,0,1,0,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Urban",2019-07-16,"VOccidental","Barcelona",1,0,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Rollover"
"Road",2019-12-31,"BLlobregat","Barcelona",1,0,0,1,0,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Rollover"
"Road",2019-03-10,"Acamp","Tarragona",0,1,3,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitObstacle"
"Road",2019-06-10,"PSobira","Lleida",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Wet","Weekday","Afternoon","Rollover"
"Urban",2019-09-11,"VOccidental","Barcelona",0,1,0,4,1,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2019-05-16,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-10-03,"BCamp","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2019-01-01,"BEmporda","Girona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Urban",2019-02-10,"Garraf","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Other"
"Road",2019-05-01,"Solsones","Lleida",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-12-23,"Segria","Lleida",1,0,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2019-03-23,"VOriental","Barcelona",1,0,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2019-01-09,"Bages","Barcelona",0,1,0,3,2,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2019-02-06,"BLlobregat","Barcelona",0,1,1,1,0,0,1,"40","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitObstacle"
"Road",2019-06-26,"VOriental","Barcelona",0,1,1,1,0,0,1,"999","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Urban",2019-01-14,"Segria","Lleida",0,1,1,1,0,0,1,"999","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","NARoadExit"
"Road",2019-06-03,"VOccidental","Barcelona",0,1,0,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2019-07-17,"Barcelones","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","NA","InSection","Wet","Weekday","Night","RunOver"
"Urban",2019-05-01,"BLlobregat","Barcelona",0,1,1,1,0,0,1,"20","No","Good","No","No","No","No","InSection","Slippery","Weekday","Night","HitObstacle"
"Road",2019-11-27,"Bages","Barcelona",0,1,0,2,0,0,2,"40","No","Good","No","No","No","No","InSection","Slippery","Weekday","Morning","HitVehicle/s"
